"","created","screenName","text","ID","map.info.A","map.info.B","emoji.counts","unicode","bytes","description","latitude","longitude"
"66","May 12, 2015 at 12:00PM","@5400shiz","Lol I was 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂at her the hole time fuck am arguing wit  ya'll for still 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂✌️","http://twitter.com/5400shiz/status/598155703728119808","http://maps.google.com/maps/api/staticmap?center=39.96786154,-75.20499213&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96786154,-75.20499213","https://maps.google.com/?q=39.96786154,-75.20499213&z=14",103,"U+270C","\xE2\x9C\x8C","victory hand",39.96786154,-75.20499213
"31119","May 12, 2015 at 12:00PM","@5400shiz","Lol I was 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂at her the hole time fuck am arguing wit  ya'll for still 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂✌️","http://twitter.com/5400shiz/status/598155703728119808","http://maps.google.com/maps/api/staticmap?center=39.96786154,-75.20499213&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96786154,-75.20499213","https://maps.google.com/?q=39.96786154,-75.20499213&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",39.96786154,-75.20499213
"348","May 12, 2015 at 11:59AM","@RiLIEFSWIFE","Me and Kenzie 😋🍳🍴Killing this #TEXASWEINER @pennie26 @ home https://t.co/SukY15yxuU","http://twitter.com/RiLIEFSWIFE/status/598155653216083968","http://maps.google.com/maps/api/staticmap?center=39.9600164,-75.20528854&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9600164,-75.20528854","https://maps.google.com/?q=39.9600164,-75.20528854&z=14",13,"U+1F374","\xF0\x9F\x8D\xB4","fork and knife",39.9600164,-75.20528854
"347","May 12, 2015 at 11:59AM","@RiLIEFSWIFE","Me and Kenzie 😋🍳🍴Killing this #TEXASWEINER @pennie26 @ home https://t.co/SukY15yxuU","http://twitter.com/RiLIEFSWIFE/status/598155653216083968","http://maps.google.com/maps/api/staticmap?center=39.9600164,-75.20528854&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9600164,-75.20528854","https://maps.google.com/?q=39.9600164,-75.20528854&z=14",2,"U+1F373","\xF0\x9F\x8D\xB3","cooking",39.9600164,-75.20528854
"10","May 12, 2015 at 11:59AM","@RiLIEFSWIFE","Me and Kenzie 😋🍳🍴Killing this #TEXASWEINER @pennie26 @ home https://t.co/SukY15yxuU","http://twitter.com/RiLIEFSWIFE/status/598155653216083968","http://maps.google.com/maps/api/staticmap?center=39.9600164,-75.20528854&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9600164,-75.20528854","https://maps.google.com/?q=39.9600164,-75.20528854&z=14",77,"U+1F60B","\xF0\x9F\x98\x8B","face savouring delicious food",39.9600164,-75.20528854
"202","May 12, 2015 at 11:59AM","@RedCupFit","◻️◽️▫️All White Everything ◻️◽️▫This ️Saturday #May16th Big Time Birthday Bash For @redcupfit… https://t.co/GgucKWVsg3","http://twitter.com/RedCupFit/status/598155652721201152","http://maps.google.com/maps/api/staticmap?center=39.96420155,-75.23147285&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96420155,-75.23147285","https://maps.google.com/?q=39.96420155,-75.23147285&z=14",10,"U+25FD","\xE2\x97\xBD","white medium small square",39.96420155,-75.23147285
"200","May 12, 2015 at 11:59AM","@RedCupFit","◻️◽️▫️All White Everything ◻️◽️▫This ️Saturday #May16th Big Time Birthday Bash For @redcupfit… https://t.co/GgucKWVsg3","http://twitter.com/RedCupFit/status/598155652721201152","http://maps.google.com/maps/api/staticmap?center=39.96420155,-75.23147285&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96420155,-75.23147285","https://maps.google.com/?q=39.96420155,-75.23147285&z=14",7,"U+25FB","\xE2\x97\xBB","white medium square",39.96420155,-75.23147285
"197","May 12, 2015 at 11:59AM","@RedCupFit","◻️◽️▫️All White Everything ◻️◽️▫This ️Saturday #May16th Big Time Birthday Bash For @redcupfit… https://t.co/GgucKWVsg3","http://twitter.com/RedCupFit/status/598155652721201152","http://maps.google.com/maps/api/staticmap?center=39.96420155,-75.23147285&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96420155,-75.23147285","https://maps.google.com/?q=39.96420155,-75.23147285&z=14",8,"U+25AB","\xE2\x96\xAB","white small square",39.96420155,-75.23147285
"30384","May 12, 2015 at 11:53AM","@danni_ayannah","I WANT TUNA😩","http://twitter.com/danni_ayannah/status/598154130671140864","http://maps.google.com/maps/api/staticmap?center=40.01185704,-75.0708662&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.01185704,-75.0708662","https://maps.google.com/?q=40.01185704,-75.0708662&z=14",378,"U+1F629","\xF0\x9F\x98\xA9","weary face",40.01185704,-75.0708662
"31118","May 12, 2015 at 11:46AM","@5400shiz","@SomthnAmazin_SA lol😂😂😂😂who them tho I don't even know em","http://twitter.com/5400shiz/status/598152228990558208","http://maps.google.com/maps/api/staticmap?center=39.96763089,-75.20490882&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96763089,-75.20490882","https://maps.google.com/?q=39.96763089,-75.20490882&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",39.96763089,-75.20490882
